DRCINAACC-3# show mac address-table
Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
+    3     80e0.1d58.9c8a   dynamic  0         F      F    Po3
+    8     0022.bdf8.19ff   dynamic  0         F      F    Po3
+    8     98be.9465.8d20   dynamic  0         F      F    Po3
*   21     6c9c.ed44.d142   dynamic  0         F      F    Po3
+   81     0015.5da1.0600   dynamic  0         F      F    Po3
+   81     0015.5da1.0700   dynamic  0         F      F    Po3
+   81     0022.bdf8.19ff   dynamic  0         F      F    Po3
*   81     48df.3792.0c28   dynamic  0         F      F    Po3
+   81     48df.3792.1504   dynamic  0         F      F    Po3
*   81     6c92.cf5d.ede0   dynamic  0         F      F    Po3
*   81     6c92.cf5e.2fc1   dynamic  0         F      F    Po3
+   81     80e0.1d58.9db2   dynamic  0         F      F    Po3
*   81     bc97.e1a3.6d15   dynamic  0         F      F    Po3
*   82     6c9c.ed44.d142   dynamic  0         F      F    Po3
+   91     48df.3792.0c2a   dynamic  0         F      F    Po3
+   92     0022.bdf8.19ff   dynamic  0         F      F    Po3
+   92     5a52.8590.0002   dynamic  0         F      F    Po3
+   92     5a52.8590.000e   dynamic  0         F      F    Po3
+   92     5a52.8590.001b   dynamic  0         F      F    Po3
*   92     5a52.8590.0032   dynamic  0         F      F    Po3
*   92     5a52.8590.003e   dynamic  0         F      F    Po3
*  103     6c9c.ed44.d142   dynamic  0         F      F    Po3
+  104     0015.5d0f.0291   dynamic  0         F      F    Po3
+  104     0015.5d29.6514   dynamic  0         F      F    Po3
+  104     0022.bdf8.19ff   dynamic  0         F      F    Po3
+  104     6c92.cf5d.d551   dynamic  0         F      F    Po3
+  105     0022.bdf8.19ff   dynamic  0         F      F    Po3
*  105     4e91.40ac.c04b   dynamic  0         F      F    Po3
*  105     4e91.4179.db14   dynamic  0         F      F    Po3
+  105     5e5d.716d.fc14   dynamic  0         F      F    Po3
*  105     5e5d.735a.d84b   dynamic  0         F      F    Po3
*  105     80e0.1d58.9db2   dynamic  0         F      F    Po3
+  106     f452.14cd.906c   dynamic  0         F      F    Po3
+  106     f452.14e3.78fe   dynamic  0         F      F    Po3
+  107     0022.bdf8.19ff   dynamic  0         F      F    Po3
+  107     e666.5b80.0003   dynamic  0         F      F    Po3
+  107     e666.5b80.000e   dynamic  0         F      F    Po3
+  107     e666.5b80.001a   dynamic  0         F      F    Po3
*  107     e666.5b80.0026   dynamic  0         F      F    Po3
*  107     e666.5b80.0032   dynamic  0         F      F    Po3
*  108     000a.f76e.8cf0   dynamic  0         F      F    Po3
+  108     98be.9459.aa62   dynamic  0         F      F    Po3
*  222     0894.ef04.c1ed   dynamic  0         F      F    Po3
*  222     0894.ef04.c2ad   dynamic  0         F      F    Po3
+  222     80e0.1d58.9c8a   dynamic  0         F      F    Po3
+  222     80e0.1d58.9db2   dynamic  0         F      F    Po3
+  223     0022.bdf8.19ff   dynamic  0         F      F    Po3
+  223     6cae.8b42.f678   dynamic  0         F      F    Po3
+  223     6cae.8b42.f990   dynamic  0         F      F    Po3
+  223     6cae.8b42.f991   dynamic  0         F      F    Po3
+  223     98be.944b.b3fc   dynamic  0         F      F    Po3
+  223     98be.944b.b548   dynamic  0         F      F    Po3
+  223     98be.947e.a958   dynamic  0         F      F    Po3
+  223     98be.947e.aa4a   dynamic  0         F      F    Po3
*  223     98be.947e.b860   dynamic  0         F      F    Po3
+  808     0007.7d85.b701   dynamic  0         F      F    Po3
*  808     0015.5d64.699d   dynamic  0         F      F    Po3
+  808     0022.bdf8.19ff   dynamic  0         F      F    Po3
+  808     0050.56b8.de5e   dynamic  0         F      F    Po3
+  902     6c9c.ed42.61c2   dynamic  0         F      F    Po3
*  902     6c9c.ed44.d142   dynamic  0         F      F    Po3
*  909     0014.4ffb.8a19   dynamic  0         F      F    Po3
*  909     0021.5af6.1946   dynamic  0         F      F    Po3
+  909     0022.bdf8.19ff   dynamic  0         F      F    Po3
+  909     6cae.8b42.f679   dynamic  0         F      F    Po3
+  909     bc97.e1a3.4dca   dynamic  0         F      F    Po3
+ 1026     0015.5d14.0603   dynamic  0         F      F    Po3
* 1026     0015.5d14.0604   dynamic  0         F      F    Po3
+ 1026     0022.bdf8.19ff   dynamic  0         F      F    Po3
+ 1026     5c6f.691a.4e07   dynamic  0         F      F    Po3
* 1028     0000.0c07.ac01   dynamic  0         F      F    Po3
* 1028     00b0.ae04.274c   dynamic  0         F      F    Eth1/17
+ 1028     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1028     6c9c.ed44.d142   dynamic  0         F      F    Po3
+ 1028     80e0.1d58.9db2   dynamic  0         F      F    Po3
+ 1030     0015.5d0b.5309   dynamic  0         F      F    Po3
* 1030     0015.5d16.d010   dynamic  0         F      F    Po3
+ 1030     0015.5d76.5e0d   dynamic  0         F      F    Po3
+ 1030     0015.5d78.9609   dynamic  0         F      F    Po3
+ 1030     0015.5d78.960a   dynamic  0         F      F    Po3
+ 1030     0015.5d87.4629   dynamic  0         F      F    Po3
* 1030     0015.5d92.0a1a   dynamic  0         F      F    Po3
+ 1030     0015.5da7.1b1e   dynamic  0         F      F    Po3
* 1030     0015.5dba.ab10   dynamic  0         F      F    Po3
