Capability Codes: R - Router, T - Trans Bridge, B - Source Route Bridge
                  S - Switch, H - Host, I - IGMP, r - Repeater, P - Phone, 
                  D - Remote, C - CVTA, M - Two-port Mac Relay 

Device ID        Local Intrfce     Holdtme    Capability  Platform  Port ID
SEP488B0A2EBF46  Gig 1/0/13        140             H P M  IP Phone  Port 1
SEP24813BB14F80  Gig 2/0/32        124             H P M  IP Phone  Port 1
SEP2C542D6A5BD5  Gig 5/0/14        157             H P M  IP Phone  Port 1
SEP6026AAF4E12A  Gig 5/0/11        135             H P M  IP Phone  Port 1
SEP002155031C14  Gig 2/0/11        164             H P M  IP Phone  Port 1
SEPF0F755CD6E52  Gig 2/0/37        159             H P M  IP Phone  Port 1
SEP001BD52CFD72  Gig 2/0/48        159             H P M  IP Phone  Port 1
SEP80E86F2230E7  Gig 5/0/7         127             H P M  IP Phone  Port 1
SEP001BD52CFEEA  Gig 1/0/6         129             H P M  IP Phone  Port 1
SEPAC4A561106DC  Gig 5/0/8         128             H P M  IP Phone  Port 1
SEP001BD52D0143  Gig 1/0/27        149             H P M  IP Phone  Port 1
SEP001BD52CFF98  Gig 6/0/48        170             H P M  IP Phone  Port 1
SEP24B657459280  Gig 6/0/31        166             H P M  IP Phone  Port 1
SEP001BD52CFD21  Gig 1/0/24        132             H P M  IP Phone  Port 1
SEP5CE176112C32  Gig 1/0/38        170             H P M  IP Phone  Port 1
SEPFCFBFB1041C1  Gig 1/0/45        177             H P M  IP Phone  Port 1
SEPDCCEC1D4FCA4  Gig 5/0/44        153             H P M  IP Phone  Port 1
SEP001BD52CEF47  Gig 5/0/36        146             H P M  IP Phone  Port 1
SEP6C6CD3540FD4  Gig 5/0/32        176              H P   Board 55  eth0
SEP24813BB14F87  Gig 1/0/22        145             H P M  IP Phone  Port 1
SEP44881649F095  Gig 6/0/10        136             H P M  IP Phone  Port 1
SEP70F35AD29DB1  Gig 2/0/46        150             H P M  IP Phone  Port 1
SEP9C57ADB4FA6D  Gig 6/0/43        149             H P M  IP Phone  Port 1
SEP88FC5D578CE6  Gig 6/0/44        174             H P M  IP Phone  Port 1
SEPF4EA674875FA  Gig 1/0/1         136             H P M  IP Phone  Port 1
SEP24813BB14F55  Gig 2/0/27        154             H P M  IP Phone  Port 1
SEP001BD5127A83  Gig 1/0/43        131             H P M  IP Phone  Port 1
SEP70F35AD2B82D  Gig 1/0/23        178             H P M  IP Phone  Port 1
SEP70F35AD29BA6  Gig 5/0/5         163             H P M  IP Phone  Port 1
SEP001BD52CF9F6  Gig 1/0/5         136             H P M  IP Phone  Port 1
SEP488B0A2EBA79  Gig 1/0/39        171             H P M  IP Phone  Port 1
SEP00727827AFE0  Gig 5/0/6         120             H P M  IP Phone  Port 1
SEPAC4A56100D8D  Gig 1/0/32        178             H P M  IP Phone  Port 1
SEP00EEABB7E80A  Gig 2/0/31        169             H P M  IP Phone  Port 1
SEP001EBE9188ED  Gig 5/0/39        124             H P M  IP Phone  Port 1
SEP001BD47D5691  Gig 2/0/35        154             H P M  IP Phone  Port 1
