Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.21.216.1             0   0008.e3ff.fc28  ARPA   Vlan1488
Internet  10.21.216.4             -   00fd.2239.1059  ARPA   Vlan1488
Internet  10.21.216.12            4   1c7d.2271.da95  ARPA   Vlan1488
Internet  10.21.216.224         107   e880.8872.c04b  ARPA   Vlan1488
Internet  10.21.216.227           9   e880.886c.7ba4  ARPA   Vlan1488
Internet  10.21.216.233         250   e880.8872.bbfd  ARPA   Vlan1488
Internet  10.21.216.235         250   e880.8859.113f  ARPA   Vlan1488
Internet  10.21.216.237         131   e880.8872.ba08  ARPA   Vlan1488
Internet  10.21.216.238         205   489e.bd47.c778  ARPA   Vlan1488
Internet  10.21.216.244          11   e880.8859.1830  ARPA   Vlan1488
Internet  10.21.216.245          82   e880.886c.853e  ARPA   Vlan1488
Internet  10.21.216.248         233   e880.886c.60d9  ARPA   Vlan1488
Internet  10.21.216.250          11   e880.8872.b849  ARPA   Vlan1488
Internet  10.21.216.253          91   e880.8859.1a9a  ARPA   Vlan1488
Internet  10.21.217.55          230   e880.886c.5e52  ARPA   Vlan1488
Internet  10.21.217.228          38   e880.8872.c168  ARPA   Vlan1488
Internet  10.21.217.230          11   e880.8859.1bba  ARPA   Vlan1488
Internet  10.21.217.231          10   246a.0ec9.65af  ARPA   Vlan1488
Internet  10.21.217.234          12   e880.886f.600f  ARPA   Vlan1488
Internet  10.21.217.235          11   e880.886c.64d7  ARPA   Vlan1488
Internet  10.21.217.236          13   e880.886c.64f2  ARPA   Vlan1488
Internet  10.21.217.237          11   e880.886c.6713  ARPA   Vlan1488
Internet  10.21.217.238         234   e880.8859.210b  ARPA   Vlan1488
Internet  10.21.217.239         225   489e.bd2e.ceba  ARPA   Vlan1488
Internet  10.21.217.240          34   e880.886c.6412  ARPA   Vlan1488
Internet  10.21.217.242         248   e880.8859.2111  ARPA   Vlan1488
Internet  10.21.217.243          11   e880.8859.1bb8  ARPA   Vlan1488
Internet  10.21.217.244          11   e880.886c.6263  ARPA   Vlan1488
Internet  10.21.217.245          11   e880.886c.898d  ARPA   Vlan1488
Internet  10.21.217.246          11   e880.886c.84be  ARPA   Vlan1488
Internet  10.21.217.248          11   e880.886c.5d49  ARPA   Vlan1488
