Interface                      Status         Protocol Description
Fa1                            down           down     --
Gi1/1                          up             up       *** to MBCA-LAN ***
Gi1/2                          down           down     *** to MBCA-LAN ***
Gi1/3                          down           down     *** Vendor Yosep Adrianto ***
Gi1/4                          down           down     *** to MBCA-LAN ***
Gi1/5                          up             up       *** to MBCA-LAN ***
Gi1/6                          down           down     *** to MBCA-LAN ***
Gi1/7                          up             up       *** to MBCA-LAN ***
Gi1/8                          down           down     *** Lynn Pintacasi ***
Gi1/9                          down           down     *** to MBCA-LAN ***
Gi1/10                         up             up       *** to MBCA-LAN ***
Gi1/11                         down           down     *** to MBCA-LAN ***
Gi1/12                         up             up       *** to MBCA-LAN ***
Gi1/13                         down           down     *** to MBCA-LAN ***
Gi1/14                         down           down     *** to MBCA-LAN ***
Gi1/15                         down           down     *** to MBCA-LAN ***
Gi1/16                         down           down     *** to MBCA-LAN ***
Gi1/17                         down           down     *** to MBCA-LAN ***
Gi1/18                         down           down     *** to MBCA-LAN ***
Gi1/19                         up             up       *** to MBCA-LAN ***
Gi1/20                         down           down     *** Jason Octaviano Iteh ***
Gi1/21                         down           down     *** to MBCA-LAN ***
Gi1/22                         down           down     *** to MBCA-LAN ***
Gi1/23                         down           down     *** to MBCA-LAN ***
Gi1/24                         down           down     *** to MBCA-LAN ***
Gi1/25                         down           down     *** to MBCA-LAN ***
Gi1/26                         down           down     *** to MBCA-LAN ***
Gi1/27                         up             up       *** to MBCA-LAN ***
Gi1/28                         up             up       *** to MBCA-LAN ***
Gi1/29                         down           down     *** to MBCA-LAN ***
Gi1/30                         up             up       *** to MBCA-LAN ***
Gi1/31                         up             up       *** MBCA-WLAN15-AP02 ***
Gi1/32                         up             up       *** to MBCA-LAN ***
Gi1/33                         down           down     *** to MBCA-LAN ***
Gi1/34                         down           down     *** to MBCA-LAN ***
Gi1/35                         down           down     *** to MBCA-LAN ***
Gi1/36                         up             up       *** Ruangan Bengkel Wintel ***
Gi1/37                         up             up       *** to MBCA-LAN ***
Gi1/38                         down           down     *** to MBCA-LAN ***
Gi1/39                         down           down     *** to MBCA-LAN ***
Gi1/40                         down           down     *** to MBCA-LAN ***
Gi1/41                         up             up       *** to MBCA-LAN ***
Gi1/42                         down           down     *** to MBCA-LAN ***
Gi1/43                         down           down     *** to MBCA-LAN ***
Gi1/44                         down           down     *** to MBCA-LAN ***
Gi1/45                         down           down     *** to MBCA-LAN ***
Gi1/46                         down           down     
Gi1/47                         down           down     *** to MBCA-LAN ***
Gi1/48                         down           down     *** to MBCA-LAN ***
Gi2/1                          admin down     down     *** to MBCA-LAN ***
Gi2/2                          up             up       *** Ruangan Bengkel Wintel ***
Gi2/3                          down           down     *** Room Direksi ***
Gi2/4                          down           down     *** Dirgo Vanto ***
Gi2/5                          up             up       *** Ruangan Bengkel Wintel ***
Gi2/6                          down           down     *** Natanael Jeffrey Budiman ***
Gi2/7                          up             up       *** Ruangan Bengkel Wintel ***
Gi2/8                          down           down     *** to MBCA-LAN ***
Gi2/9                          down           down     *** Lukman Cahyadi ***
Gi2/10                         up             up       *** Ruangan Benkel Wintel ***
Gi2/11                         down           down     *** Okky Rengga ***
Gi2/12                         down           down     *** Jacklin Sinthia Thio ***
Gi2/13                         down           down     *** Joshua Filemon ***
Gi2/14                         down           down     *** Riyanto ***
Gi2/15                         down           down     *** Linggawati Suharlie ***
Gi2/16                         up             up       *** Ari Khresna Ninditya ***
Gi2/17                         up             up       *** Ricardo Lumintu ***
Gi2/18                         down           down     *** Dian Fitria Sari ***
Gi2/19                         up             up       *** to MBCA-LAN ***
Gi2/20                         up             up       *** to MBCA-LAN ***
Gi2/21                         up             up       *** to MBCA-LAN ***
Gi2/22                         up             up       *** Kevin Ho ***
Gi2/23                         down           down     *** Mateus Eko ***
Gi2/24                         down           down     *** Hendri Desungku ***
Gi2/25                         up             up       *** Steven Lavinske Santosa ***
Gi2/26                         down           down     *** Budy Darma ***
Gi2/27                         up             up       *** Isabella Mulyanti ***
Gi2/28                         up             up       *** Gryan Bestra Tama ***
Gi2/29                         down           down     *** Yanuar Budiman ***
Gi2/30                         up             up       *** Donny Setiawan ***
Gi2/31                         down           down     *** to MBCA-LAN ***
Gi2/32                         down           down     *** LAN User ***
Gi2/33                         up             up       *** to MBCA-LAN ***
Gi2/34                         down           down     *** Muhammad Windiarto Hermawan ***
Gi2/35                         up             up       *** Sarah Nofyanti ***
Gi2/36                         down           down     *** Felicia Poernomo ***
Gi2/37                         up             up       *** Aristiawan Putra ***
Gi2/38                         down           down     *** Andry Satria ***
